iter	MAE
0	0.3306120766
1	0.3280240058
2	0.3257833444
3	0.3235484373
4	0.3215609907
5	0.3196360922
6	0.3178361731
7	0.3159522154
8	0.3141125971
9	0.3124402116
10	0.3107451889
11	0.3092138512
12	0.3078167248
13	0.3063229267
14	0.3050256641
15	0.3038374271
16	0.3026441855
17	0.3015065613
18	0.3004812201
19	0.2995100957
20	0.2986036705
21	0.2977344008
22	0.2968941358
23	0.2961814352
24	0.2954107714
25	0.294621856
26	0.2939571625
27	0.2933207645
28	0.2926573971
29	0.292003515
30	0.2914049286
31	0.2907487404
32	0.2902233286
33	0.2896435163
34	0.2891363275
35	0.288605082
36	0.2881581679
37	0.2877008745
38	0.2871491836
39	0.2866375324
40	0.2861394794
41	0.2855763134
42	0.2850992163
43	0.2845800581
44	0.284165636
45	0.2836641172
46	0.2832164531
47	0.2827488335
48	0.2823006553
49	0.28190852
50	0.2814497248
51	0.2810716213
52	0.2807228913
53	0.2803983094
54	0.2800647409
55	0.2797133296
56	0.279462046
57	0.2792202476
58	0.2789336223
59	0.2787001151
60	0.2783618998
61	0.2780730414
62	0.2778820256
63	0.2776437025
64	0.2774368931
65	0.2771929814
66	0.2769917627
67	0.2767826417
68	0.2765964352
69	0.2764078022
70	0.2762510942
71	0.2760581949
72	0.2758942474
73	0.2757742148
74	0.2756036096
75	0.2754329093
76	0.2753109942
77	0.2751456516
78	0.2749952248
79	0.2748442034
80	0.2746046446
81	0.2744382463
82	0.2743554769
83	0.2742066349
84	0.27398931
85	0.2738422342
86	0.2737459149
87	0.273551756
88	0.2733683745
89	0.2732821556
90	0.2731747611
91	0.2730975833
92	0.2729985711
93	0.2728936351
94	0.2728273088
95	0.27262116
96	0.2724625754
97	0.2724059025
98	0.2723049098
99	0.2721429574
100	0.2719670855
101	0.271867879
102	0.2717382162
103	0.271634278
104	0.2715489093
105	0.2713899453
106	0.2713101043
107	0.2712068992
108	0.2711201799
109	0.2709617515
110	0.2708337694
111	0.2706975271
112	0.2705427374
113	0.270494578
114	0.2704242058
115	0.2703044795
116	0.2702574247
117	0.270119069
118	0.2700699327
119	0.2700344907
120	0.2699934974
121	0.2699261856
122	0.269865104
123	0.2697545921
124	0.2697194275
125	0.2696363004
126	0.2696043582
127	0.2695140516
128	0.2694320223
129	0.2693838787
130	0.2693136106
131	0.2692229732
132	0.2691430883
133	0.2690647426
134	0.2690188676
135	0.2689829998
136	0.2689263657
137	0.2689176637
138	0.2688854326
139	0.2688413592
140	0.268768291
141	0.2687079323
142	0.2686489857
143	0.2686239549
144	0.2685533286
145	0.2685231788
146	0.2685156552
147	0.268470474
148	0.2683768254
149	0.2683561407
150	0.2682847394
151	0.268259592
152	0.2681643804
