iter	Passed	Remaining
0	185	184969
1	264	132171
2	325	108050
3	392	97843
4	469	93412
5	523	86808
6	581	82420
7	634	78698
8	689	75971
9	734	72678
10	772	69490
11	813	66947
12	849	64483
13	887	62531
14	923	60647
15	960	59063
16	995	57566
17	1030	56239
18	1066	55089
19	1102	54025
20	1137	53050
21	1174	52222
22	1220	51865
23	1276	51898
24	1316	51355
25	1361	50998
26	1405	50651
27	1448	50280
28	1488	49833
29	1531	49516
30	1572	49146
31	1614	48827
32	1660	48650
33	1711	48621
34	1754	48379
35	1797	48142
36	1841	47919
37	1884	47712
38	1937	47742
39	1982	47572
40	2025	47375
41	2063	47075
42	2101	46781
43	2142	46550
44	2184	46365
45	2222	46099
46	2256	45762
47	2296	45538
48	2329	45217
49	2373	45096
50	2412	44886
51	2452	44717
52	2496	44615
53	2553	44740
54	2607	44793
55	2656	44781
56	2709	44820
57	2770	44999
58	2824	45055
59	2874	45035
60	2916	44901
61	2965	44871
62	3021	44943
63	3064	44815
64	3116	44824
65	3163	44764
66	3219	44834
67	3262	44719
68	3315	44741
69	3369	44763
70	3431	44895
71	3477	44820
72	3543	44993
73	3596	45009
74	3632	44804
75	3677	44715
76	3734	44766
77	3780	44688
78	3829	44650
79	3884	44674
80	3933	44625
81	3977	44529
82	4032	44550
83	4083	44525
84	4126	44415
85	4184	44467
86	4250	44609
87	4321	44789
88	4375	44792
89	4486	45358
90	4605	46001
91	4679	46186
92	4779	46615
93	4857	46819
94	4938	47048
95	4999	47077
96	5047	46984
97	5119	47116
98	5219	47499
99	5270	47434
100	5321	47367
101	5384	47402
102	5444	47414
103	5506	47441
104	5598	47716
105	5647	47630
106	5728	47810
107	5786	47789
108	5859	47895
109	5927	47960
110	5989	47968
111	6040	47891
112	6111	47968
113	6188	48093
114	6263	48198
115	6323	48186
116	6399	48299
117	6460	48289
118	6520	48270
119	6687	49044
120	6781	49263
121	6866	49416
122	6948	49546
123	7011	49533
124	7085	49599
125	7150	49598
126	7238	49757
127	7299	49724
128	7377	49812
129	7447	49841
130	7496	49728
131	7538	49572
132	7584	49440
133	7647	49423
134	7715	49437
135	7783	49449
136	7833	49344
137	7872	49175
138	7945	49218
139	8014	49231
140	8094	49311
141	8166	49341
142	8246	49418
143	8310	49403
144	8370	49359
145	8432	49323
146	8469	49145
147	8514	49014
148	8556	48870
149	8616	48826
150	8654	48662
151	8706	48574
152	8745	48416
153	8801	48352
154	8844	48218
155	8886	48079
156	8938	47992
157	8987	47897
158	9039	47812
159	9094	47746
160	9136	47613
161	9181	47496
162	9234	47416
163	9277	47290
164	9315	47140
165	9368	47068
166	9421	46994
167	9469	46896
168	9520	46812
169	9571	46732
170	9598	46531
171	9646	46439
172	9705	46395
173	9775	46407
174	9817	46282
175	9861	46170
176	9913	46095
177	9973	46057
178	10025	45981
179	10068	45866
180	10105	45725
181	10155	45642
182	10191	45499
183	10242	45422
184	10292	45342
185	10353	45311
186	10405	45237
187	10457	45166
188	10512	45110
189	10555	44999
190	10599	44893
191	10656	44848
192	10769	45031
193	10841	45041
194	10891	44962
195	10930	44838
196	10996	44821
197	11044	44735
198	11115	44741
199	11176	44705
200	11250	44722
201	11307	44669
202	11365	44621
203	11414	44539
204	11483	44533
205	11538	44474
206	11603	44451
207	11668	44430
208	11729	44392
209	11803	44404
210	11862	44359
211	11931	44350
212	11966	44215
213	12034	44201
214	12076	44093
215	12128	44022
216	12178	43944
217	12215	43818
218	12269	43753
219	12328	43708
220	12377	43629
221	12431	43567
222	12484	43498
223	12527	43399
224	12577	43320
225	12642	43299
226	12697	43240
227	12744	43153
228	12808	43124
229	12873	43098
230	12921	43014
231	12982	42975
232	13045	42942
233	13104	42897
234	13176	42892
235	13246	42882
236	13309	42849
237	13371	42809
238	13433	42774
239	13487	42711
240	13543	42653
241	13595	42583
242	13641	42495
243	13718	42503
244	13778	42458
245	13837	42411
246	13890	42346
247	13948	42294
248	14003	42235
249	14070	42211
250	14124	42146
251	14173	42069
252	14225	42002
253	14284	41953
254	14345	41910
255	14397	41844
256	14444	41760
257	14506	41718
258	14584	41726
259	14730	41924
260	14800	41904
261	14854	41842
262	14905	41770
263	14954	41691
264	14995	41590
265	15039	41500
266	15089	41424
267	15134	41336
268	15188	41273
269	15238	41200
270	15295	41144
271	15339	41056
272	15378	40952
273	15415	40846
274	15458	40753
275	15508	40680
276	15560	40615
277	15623	40576
278	15671	40498
279	15728	40444
280	15785	40390
281	15843	40339
282	15906	40300
283	15961	40240
284	16008	40160
285	16058	40089
286	16114	40034
287	16171	39979
288	16232	39936
289	16280	39858
290	16321	39767
291	16376	39706
292	16426	39637
293	16486	39589
294	16536	39518
295	16574	39420
296	16623	39347
297	16693	39324
298	16759	39292
299	16814	39232
300	16868	39172
301	16919	39105
302	16971	39039
303	17018	38963
